GeoCode,Province,City,tract,x,description,description2,y,amount2011
9330034.01,British Columbia,Vancouver,34.01,18.4,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,896
9330034.02,British Columbia,Vancouver,34.02,30.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1051
9330035.01,British Columbia,Vancouver,35.01,34.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,883
9330035.02,British Columbia,Vancouver,35.02,31.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,894
9330036.01,British Columbia,Vancouver,36.01,31.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,819
9330036.02,British Columbia,Vancouver,36.02,25.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,980
9330037.01,British Columbia,Vancouver,37.01,23.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,985
9330037.02,British Columbia,Vancouver,37.02,33.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,953
9330038.00,British Columbia,Vancouver,38,28,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,954
9330039.01,British Columbia,Vancouver,39.01,22.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1034
9330039.02,British Columbia,Vancouver,39.02,14.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1141
9330040.01,British Columbia,Vancouver,40.01,29.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1072
9330040.02,British Columbia,Vancouver,40.02,29,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1073
9330041.01,British Columbia,Vancouver,41.01,25.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1182
9330041.02,British Columbia,Vancouver,41.02,17.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1382
9330042.00,British Columbia,Vancouver,42,26.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1243
9330043.01,British Columbia,Vancouver,43.01,25.4,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1299
9330043.02,British Columbia,Vancouver,43.02,27.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1431
9330044.00,British Columbia,Vancouver,44,27.5,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1121
9330045.01,British Columbia,Vancouver,45.01,30.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1357
9330045.02,British Columbia,Vancouver,45.02,25.7,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1294
9330046.00,British Columbia,Vancouver,46,17.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1072
9330047.01,British Columbia,Vancouver,47.01,27.7,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1140
9330047.02,British Columbia,Vancouver,47.02,28.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1103
9330048.00,British Columbia,Vancouver,48,23,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1202
9330049.01,British Columbia,Vancouver,49.01,19.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1370
9330049.02,British Columbia,Vancouver,49.02,22.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1174
9330050.02,British Columbia,Vancouver,50.02,28.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,838
9330050.03,British Columbia,Vancouver,50.03,23.7,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,936
